record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,field_id,access_class,applicable_families,state_question_coverage,expert_use,decision_effect,omission_risk,ablation_condition,evidence_status_note
expert-use:map.reachable,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,map.reachable,DERIVED_EXACT,map,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,hard legality mask for route actions,"constrains legality, calculation, estimation, or resource planning",illegal route or lost progression,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:combat.hand,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.hand,VIS_DIRECT,combat,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,enumerates playable action sequences,"constrains legality, calculation, estimation, or resource planning",missed lethal or illegal card play,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:combat.enemies,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.enemies,VIS_DIRECT,combat,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,target prioritization and deterministic survival,"constrains legality, calculation, estimation, or resource planning",wrong target or death,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:combat.intents,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.intents,VIS_DIRECT,combat,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,computes visible incoming damage and survival constraints,"constrains legality, calculation, estimation, or resource planning",avoidable HP loss or death,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:combat.piles,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.piles,VIS_ON_DEMAND,combat,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"draw probabilities, reshuffle boundaries, and sequencing","constrains legality, calculation, estimation, or resource planning",wrong next-turn estimate,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:economy.offers,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,economy.offers,VIS_DIRECT,rewards,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"compares cards/items against skip, reserve, and bundles","constrains legality, calculation, estimation, or resource planning",regretful purchase or reward,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:choice.options,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,choice.options,VIS_DIRECT,rewards;events;lifecycle,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,prevents invented options and supports consequence comparison,"constrains legality, calculation, estimation, or resource planning",invalid or harmful choice,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:selection.domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,selection.domain,DERIVED_EXACT,combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,hard target and candidate mask,"constrains legality, calculation, estimation, or resource planning",wrong card/target selection,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:history.actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,history.actions,OBS_HISTORY,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"reconstructs pile movement, counters, route, and calibration facts","constrains legality, calculation, estimation, or resource planning",inconsistent planning state,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:derived.legal_actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,derived.legal_actions,DERIVED_EXACT,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,restricts policy output to current legal actions,"constrains legality, calculation, estimation, or resource planning",illegal or invented command,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:derived.survival_lethal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,derived.survival_lethal,DERIVED_EXACT,combat,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"orders lethal, survival, and resource-preservation checks","constrains legality, calculation, estimation, or resource planning",tactical regret or death,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:estimate.risk_budget,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,estimate.risk_budget,ESTIMATED,map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,sets route and resource risk posture,"constrains legality, calculation, estimation, or resource planning",over-risking or excessive hoarding,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:estimate.future_distribution,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,estimate.future_distribution,ESTIMATED,map;combat;rewards;events,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,"discounts uncertain draws, events, route outcomes, and enemy behavior","constrains legality, calculation, estimation, or resource planning",overconfident speculation,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:security.hidden_future_rng,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,security.hidden_future_rng,PRIVILEGED,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,must never influence policy,none; denied,fair-play violation,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
expert-use:state.contextual_domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.contextual_domain,VIS_ON_DEMAND,all,q09_required_observations;q11_expert_use;q13_policy;q15_memory_importance,supplies state-family-specific candidate details,"constrains legality, calculation, estimation, or resource planning",avoidable uncertainty in nested choices,remove_or_mask_then_measure_action_agreement_regret_legality_and_survival,requirements baseline; importance is not empirically validated
