record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,state_id,field_id,field_path,availability,required,access_class,production_observation,legal_action_input,privileged,freshness,importance,target_build_field_verified,omission_risk
matrix:boot_loading:state.exit_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,state.exit_context,state.exit_context,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,false settlement
matrix:boot_loading:state.confusable_evidence,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,state.confusable_evidence,state.confusable_evidence,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,wrong state classification
matrix:boot_loading:state.recovery_policy,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,state.recovery_policy,state.recovery_policy_id,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,unsafe retry
matrix:boot_loading:run.character,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,run.character,run.character_id,available,false,VIS_DIRECT,true,true,false,on_run_setup,high,false,wrong ruleset or card valuation
matrix:boot_loading:run.location,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,run.location,run.act_floor_node,required,true,VIS_DIRECT,true,true,false,on_room_transition,critical,false,route and resource-budget failure
matrix:boot_loading:run.resources,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,run.resources,run.resources,required,true,VIS_DIRECT,true,true,false,every_mutation,critical,false,avoidable death or illegal purchase
matrix:boot_loading:run.deck,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,run.deck,run.deck,available,false,VIS_ON_DEMAND,true,true,false,on_deck_mutation,high,false,dilution and synergy errors
matrix:boot_loading:run.inventory,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,run.inventory,run.relics_potions,available,false,VIS_ON_DEMAND,true,true,false,on_inventory_mutation,high,false,wrong sequencing or replacement choice
matrix:boot_loading:map.reachable,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,map.reachable,map.reachable_nodes,not_applicable,false,DERIVED_EXACT,false,false,false,on_map_change,critical,false,illegal route or lost progression
matrix:boot_loading:combat.hand,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,combat.hand,combat.hand,not_applicable,false,VIS_DIRECT,false,false,false,every_action,critical,false,missed lethal or illegal card play
matrix:boot_loading:combat.enemies,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,combat.enemies,combat.enemies,not_applicable,false,VIS_DIRECT,false,false,false,every_action,critical,false,wrong target or death
matrix:boot_loading:combat.intents,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,combat.intents,combat.visible_intents,not_applicable,false,VIS_DIRECT,false,false,false,every_action,critical,false,avoidable HP loss or death
matrix:boot_loading:combat.piles,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,combat.piles,combat.piles,not_applicable,false,VIS_ON_DEMAND,false,false,false,on_pile_change_or_inspection,high,false,wrong next-turn estimate
matrix:boot_loading:economy.offers,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,economy.offers,economy.offers_prices,not_applicable,false,VIS_DIRECT,false,false,false,on_offer_change,high,false,regretful purchase or reward
matrix:boot_loading:choice.options,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,choice.options,choice.visible_options,required,true,VIS_DIRECT,true,true,false,every_choice_generation,critical,false,invalid or harmful choice
matrix:boot_loading:selection.domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,selection.domain,selection.valid_candidates,not_applicable,false,DERIVED_EXACT,false,false,false,every_selection_mutation,critical,false,wrong card/target selection
matrix:boot_loading:history.actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,history.actions,history.observed_actions,available,false,OBS_HISTORY,true,true,false,every_settlement,high,false,inconsistent planning state
matrix:boot_loading:derived.legal_actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,derived.legal_actions,derived.legal_actions,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,illegal or invented command
matrix:boot_loading:derived.survival_lethal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,derived.survival_lethal,derived.survival_and_lethal,not_applicable,false,DERIVED_EXACT,false,false,false,every_action,high,false,tactical regret or death
matrix:boot_loading:estimate.risk_budget,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,estimate.risk_budget,estimates.risk_budget,not_applicable,false,ESTIMATED,false,false,false,on_context_change,high,false,over-risking or excessive hoarding
matrix:boot_loading:estimate.future_distribution,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,estimate.future_distribution,estimates.future_outcome_distribution,not_applicable,false,ESTIMATED,false,false,false,on_belief_update,situational,false,overconfident speculation
matrix:boot_loading:security.hidden_future_rng,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,boot_loading,security.hidden_future_rng,security.hidden_future_rng_state,denied_unavailable,false,PRIVILEGED,false,false,true,never,prohibited,false,fair-play violation
matrix:title_screen:state.identity,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.identity,state.identity.state_id,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,wrong-screen mutation or unsafe policy dispatch
matrix:title_screen:state.parent,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.parent,state.identity.parent_state,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,family policy mismatch
matrix:title_screen:state.input_enabled,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.input_enabled,state.input_enabled,required,true,VIS_DIRECT,true,true,false,every_generation,critical,false,stale or duplicated mutation
matrix:title_screen:state.stability,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.stability,state.stability,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,action during unresolved transition
matrix:title_screen:state.observation_generation,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.observation_generation,state.observation_generation,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,action applied to changed state
matrix:title_screen:state.transition_id,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.transition_id,state.transition_id,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,unreconcilable action outcome
matrix:title_screen:state.active_modal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.active_modal,state.active_modal,required,true,VIS_DIRECT,true,true,false,every_generation,critical,false,wrong control activation
matrix:title_screen:state.visible_controls,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.visible_controls,state.visible_controls,available,false,VIS_DIRECT,true,true,false,every_generation,high,false,invented or unavailable action
matrix:title_screen:state.inspection_surfaces,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.inspection_surfaces,state.inspection_surfaces,available,false,VIS_ON_DEMAND,true,true,false,on_inspection,high,false,avoidable uncertainty or wrong estimate
matrix:title_screen:state.entry_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.entry_context,state.entry_context,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,incorrect branch or memory update
matrix:title_screen:state.exit_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.exit_context,state.exit_context,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,false settlement
matrix:title_screen:state.confusable_evidence,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.confusable_evidence,state.confusable_evidence,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,wrong state classification
matrix:title_screen:state.recovery_policy,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.recovery_policy,state.recovery_policy_id,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,unsafe retry
matrix:title_screen:run.character,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,run.character,run.character_id,available,false,VIS_DIRECT,true,true,false,on_run_setup,high,false,wrong ruleset or card valuation
matrix:title_screen:run.location,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,run.location,run.act_floor_node,required,true,VIS_DIRECT,true,true,false,on_room_transition,critical,false,route and resource-budget failure
matrix:title_screen:run.resources,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,run.resources,run.resources,required,true,VIS_DIRECT,true,true,false,every_mutation,critical,false,avoidable death or illegal purchase
matrix:title_screen:run.deck,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,run.deck,run.deck,available,false,VIS_ON_DEMAND,true,true,false,on_deck_mutation,high,false,dilution and synergy errors
matrix:title_screen:run.inventory,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,run.inventory,run.relics_potions,available,false,VIS_ON_DEMAND,true,true,false,on_inventory_mutation,high,false,wrong sequencing or replacement choice
matrix:title_screen:map.reachable,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,map.reachable,map.reachable_nodes,not_applicable,false,DERIVED_EXACT,false,false,false,on_map_change,critical,false,illegal route or lost progression
matrix:title_screen:combat.hand,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,combat.hand,combat.hand,not_applicable,false,VIS_DIRECT,false,false,false,every_action,critical,false,missed lethal or illegal card play
matrix:title_screen:combat.enemies,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,combat.enemies,combat.enemies,not_applicable,false,VIS_DIRECT,false,false,false,every_action,critical,false,wrong target or death
matrix:title_screen:combat.intents,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,combat.intents,combat.visible_intents,not_applicable,false,VIS_DIRECT,false,false,false,every_action,critical,false,avoidable HP loss or death
matrix:title_screen:combat.piles,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,combat.piles,combat.piles,not_applicable,false,VIS_ON_DEMAND,false,false,false,on_pile_change_or_inspection,high,false,wrong next-turn estimate
matrix:title_screen:economy.offers,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,economy.offers,economy.offers_prices,not_applicable,false,VIS_DIRECT,false,false,false,on_offer_change,high,false,regretful purchase or reward
matrix:title_screen:choice.options,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,choice.options,choice.visible_options,required,true,VIS_DIRECT,true,true,false,every_choice_generation,critical,false,invalid or harmful choice
matrix:title_screen:selection.domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,selection.domain,selection.valid_candidates,not_applicable,false,DERIVED_EXACT,false,false,false,every_selection_mutation,critical,false,wrong card/target selection
matrix:title_screen:history.actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,history.actions,history.observed_actions,available,false,OBS_HISTORY,true,true,false,every_settlement,high,false,inconsistent planning state
matrix:title_screen:derived.legal_actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,derived.legal_actions,derived.legal_actions,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,illegal or invented command
matrix:title_screen:derived.survival_lethal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,derived.survival_lethal,derived.survival_and_lethal,not_applicable,false,DERIVED_EXACT,false,false,false,every_action,high,false,tactical regret or death
matrix:title_screen:estimate.risk_budget,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,estimate.risk_budget,estimates.risk_budget,not_applicable,false,ESTIMATED,false,false,false,on_context_change,high,false,over-risking or excessive hoarding
matrix:title_screen:estimate.future_distribution,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,estimate.future_distribution,estimates.future_outcome_distribution,not_applicable,false,ESTIMATED,false,false,false,on_belief_update,situational,false,overconfident speculation
matrix:title_screen:security.hidden_future_rng,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,security.hidden_future_rng,security.hidden_future_rng_state,denied_unavailable,false,PRIVILEGED,false,false,true,never,prohibited,false,fair-play violation
matrix:title_screen:state.contextual_domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,title_screen,state.contextual_domain,state.contextual_choice_domain,available,false,VIS_ON_DEMAND,true,true,false,on_context_change,situational,false,avoidable uncertainty in nested choices
matrix:profile_selection:state.identity,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.identity,state.identity.state_id,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,wrong-screen mutation or unsafe policy dispatch
matrix:profile_selection:state.parent,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.parent,state.identity.parent_state,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,family policy mismatch
matrix:profile_selection:state.input_enabled,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.input_enabled,state.input_enabled,required,true,VIS_DIRECT,true,true,false,every_generation,critical,false,stale or duplicated mutation
matrix:profile_selection:state.stability,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.stability,state.stability,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,action during unresolved transition
matrix:profile_selection:state.observation_generation,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.observation_generation,state.observation_generation,required,true,DERIVED_EXACT,true,true,false,every_generation,critical,false,action applied to changed state
matrix:profile_selection:state.transition_id,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.transition_id,state.transition_id,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,unreconcilable action outcome
matrix:profile_selection:state.active_modal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.active_modal,state.active_modal,required,true,VIS_DIRECT,true,true,false,every_generation,critical,false,wrong control activation
matrix:profile_selection:state.visible_controls,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.visible_controls,state.visible_controls,available,false,VIS_DIRECT,true,true,false,every_generation,high,false,invented or unavailable action
matrix:profile_selection:state.inspection_surfaces,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.inspection_surfaces,state.inspection_surfaces,available,false,VIS_ON_DEMAND,true,true,false,on_inspection,high,false,avoidable uncertainty or wrong estimate
matrix:profile_selection:state.entry_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.entry_context,state.entry_context,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,incorrect branch or memory update
matrix:profile_selection:state.exit_context,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.exit_context,state.exit_context,available,false,OBS_HISTORY,true,true,false,on_transition,high,false,false settlement
matrix:profile_selection:state.confusable_evidence,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.confusable_evidence,state.confusable_evidence,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,wrong state classification
matrix:profile_selection:state.recovery_policy,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,state.recovery_policy,state.recovery_policy_id,available,false,DERIVED_EXACT,true,true,false,every_generation,high,false,unsafe retry
matrix:profile_selection:run.character,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,run.character,run.character_id,available,false,VIS_DIRECT,true,true,false,on_run_setup,high,false,wrong ruleset or card valuation
matrix:profile_selection:run.location,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,run.location,run.act_floor_node,required,true,VIS_DIRECT,true,true,false,on_room_transition,critical,false,route and resource-budget failure
matrix:profile_selection:run.resources,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,run.resources,run.resources,required,true,VIS_DIRECT,true,true,false,every_mutation,critical,false,avoidable death or illegal purchase
matrix:profile_selection:run.deck,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,run.deck,run.deck,available,false,VIS_ON_DEMAND,true,true,false,on_deck_mutation,high,false,dilution and synergy errors
matrix:profile_selection:run.inventory,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,run.inventory,run.relics_potions,available,false,VIS_ON_DEMAND,true,true,false,on_inventory_mutation,high,false,wrong sequencing or replacement choice
matrix:profile_selection:map.reachable,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,profile_selection,map.reachable,map.reachable_nodes,not_applicable,false,DERIVED_EXACT,false,false,false,on_map_change,critical,false,illegal route or lost progression
