record_id,generated_baseline,provenance_kind,generator,source_id,build_id,evidence_status,epistemic_status,validation_status,target_build_observed,live_capture,field_id,field_path,rank_order,importance_prior,access_class,expert_use,omission_risk,empirical_status,empirical_delta,reconciled_rank,privileged_policy,evidence_boundary
importance:run.resources,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.resources,run.resources,16,critical,VIS_DIRECT,enforces survival and resource constraints,avoidable death or illegal purchase,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:run.deck,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.deck,run.deck,17,high,VIS_ON_DEMAND,"supports card reward, shop, rest, and draw evaluation",dilution and synergy errors,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:run.inventory,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,run.inventory,run.relics_potions,18,high,VIS_ON_DEMAND,"accounts for timing, capacity, and future option value",wrong sequencing or replacement choice,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:map.reachable,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,map.reachable,map.reachable_nodes,19,critical,DERIVED_EXACT,hard legality mask for route actions,illegal route or lost progression,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:combat.hand,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.hand,combat.hand,20,critical,VIS_DIRECT,enumerates playable action sequences,missed lethal or illegal card play,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:combat.enemies,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.enemies,combat.enemies,21,critical,VIS_DIRECT,target prioritization and deterministic survival,wrong target or death,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:combat.intents,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.intents,combat.visible_intents,22,critical,VIS_DIRECT,computes visible incoming damage and survival constraints,avoidable HP loss or death,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:combat.piles,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,combat.piles,combat.piles,23,high,VIS_ON_DEMAND,"draw probabilities, reshuffle boundaries, and sequencing",wrong next-turn estimate,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:economy.offers,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,economy.offers,economy.offers_prices,24,high,VIS_DIRECT,"compares cards/items against skip, reserve, and bundles",regretful purchase or reward,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:choice.options,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,choice.options,choice.visible_options,25,critical,VIS_DIRECT,prevents invented options and supports consequence comparison,invalid or harmful choice,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:selection.domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,selection.domain,selection.valid_candidates,26,critical,DERIVED_EXACT,hard target and candidate mask,wrong card/target selection,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:history.actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,history.actions,history.observed_actions,27,high,OBS_HISTORY,"reconstructs pile movement, counters, route, and calibration facts",inconsistent planning state,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:derived.legal_actions,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,derived.legal_actions,derived.legal_actions,28,critical,DERIVED_EXACT,restricts policy output to current legal actions,illegal or invented command,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:derived.survival_lethal,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,derived.survival_lethal,derived.survival_and_lethal,29,high,DERIVED_EXACT,"orders lethal, survival, and resource-preservation checks",tactical regret or death,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:estimate.risk_budget,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,estimate.risk_budget,estimates.risk_budget,30,high,ESTIMATED,sets route and resource risk posture,over-risking or excessive hoarding,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:estimate.future_distribution,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,estimate.future_distribution,estimates.future_outcome_distribution,31,situational,ESTIMATED,"discounts uncertain draws, events, route outcomes, and enemy behavior",overconfident speculation,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:security.hidden_future_rng,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,security.hidden_future_rng,security.hidden_future_rng_state,32,prohibited,PRIVILEGED,must never influence policy,fair-play violation,not_executed,not measured,prohibited,deny and omit from production observation/legal action,analyst prior from supplied specification; no expert panel or autonomous ablation
importance:state.contextual_domain,true,synthetic_requirements_baseline,sts2-expert-state-package-baseline-v1,SRC-SPEC-ATTACHMENT,public-v0.107.1+steam-23811903,proposed,hypothesized,required,false,false,state.contextual_domain,state.contextual_choice_domain,33,situational,VIS_ON_DEMAND,supplies state-family-specific candidate details,avoidable uncertainty in nested choices,not_executed,not measured,currently_unproven,allowed only through declared fair-play class,analyst prior from supplied specification; no expert panel or autonomous ablation
